SMeHg,pH,Temp_C,DO_mgL,DOC_mgL,SUVA,UMeHg_ng_g,LOI_pct
0.1,8.9,34.1,6.7,8.6,2.5,0.05,5.93
0.06,7.5,31.9,6.5,8.9,2.9,0.09,7.87
0.26,6.7,29.1,2.8,11.1,3,0.46,10.06
0.05,6.8,29,6.8,5.2,5,0.15,0.26
0.41,7.4,32.5,3,8.6,2.9,0.03,32.46
1.08,7.4,15.5,10,4.2,2.8,0.09,2.81
0.27,7.8,26,7.4,1.8,1.5,0.01,4.1
0.15,7.5,18.5,7.3,2.6,2,0.04,4.26
0.38,7.7,21,4.4,3.9,2.6,0.1,3.04
0.52,7.6,22,7.8,2.1,1.8,0.02,4.01
0.67,7.8,4.5,13.8,1.6,2.8,0.02,2.83
0.38,8,5.8,12.9,3.8,3.2,0.02,3.24
0.01,7.7,4.5,13.1,0.7,0.7,0.02,0.79
0.04,8.1,4.5,14.2,0.7,3.3,0.02,3.45
0.38,7.8,25,7.7,4.9,2.7,0.1,3.04
0.57,7.9,20.8,8.4,2.7,2,0.09,6.46
1.64,7.8,22.8,8.6,1.4,2.3,0.04,5.45
1.08,8.7,25,9.1,3.3,2.9,0.06,8.85
0.2,7.3,24.3,7.6,2.9,3.4,0.05,4.49
0.14,8.5,10,9.2,2.1,2.5,0.03,1.8
4.02,8.5,10,12.2,3.1,3,0.1,7.13
3.2,7.5,12.6,7.9,3.3,1.8,0.03,3.97
2.67,6.9,21.7,4.2,5.5,3.9,0.24,15.2
6.03,7.3,27.2,7.3,3.9,3.4,0.06,43.48
0.31,6.7,24.4,7.3,1.7,3.5,0.02,3.54
0.17,8.2,26.1,8.9,2.6,2.1,0.04,1.42
0.15,7.8,19.6,9.1,4.4,5.7,0.04,2.38
0.06,7.9,19.5,9.8,4.3,3.7,0.04,2.81
0.18,7.5,25.7,7.5,3.8,3,0.07,1.06
0.65,6.3,27.4,7.9,5.5,4.5,0.21,2.11
7.02,6.6,17.7,8.4,2.1,3.3,0.25,17.45
9.91,6.6,20,7.3,7,4,0.44,22.54
4.41,7,21,7.7,4.4,3.2,0.11,16.7
7.14,6.5,19.6,5.8,4,3.1,0.08,17.36
7.93,6.6,22.3,7.1,6.6,3.5,0.28,20.23
3.75,8.6,21.2,10.9,2,3.2,0.09,3.27
2.1,8.5,17.6,9.9,0.7,0.6,0.01,3.53
0.18,8.1,21.5,7.4,1.7,1.5,0.01,1.62
0.7,7.1,28.8,5.3,2.9,2,0.09,6.67
2.7,6.3,25.4,4.8,3,4.4,0.41,28.09
3.1,6.4,26.7,4.9,5.9,5,0.4,31.03
6.8,6.1,24,5.7,4.8,5.7,0.32,12.04
2.5,6.4,25.2,5,3.8,4.5,1.48,15.46
5.8,6.6,27.2,5.2,4.6,4.9,1.36,21.31
3.42,8.1,30.4,6.7,2.3,2.3,0.04,5.81
1.47,7.8,21.9,7.8,4.8,2.1,0.14,5.77
1.7,8.2,23.5,7.7,3,1.8,0.03,5.02
1.29,10.1,32.1,8.8,6.9,1.8,0.08,7.75
3.65,7.7,7.8,12.2,0.6,1,0.02,17.22
1.14,7.2,23.7,7.2,1.6,3.6,0.03,6.18
0.64,7.2,25.5,6.1,0.9,3.2,0.01,2.88
2.84,7.8,8.7,8.8,1.3,2.9,0.05,6.18
0.21,7.8,9,8.4,1.4,0.3,0.02,5.76
1.68,8.2,15.2,8.8,3.9,3.3,0.15,3.82
0.13,3.3,13,6.9,0.4,16,0.02,6.4
0.28,6.7,6.5,8,1.3,0.3,0.02,7.45
0.45,8.3,25.5,9.2,3.5,2.9,0.05,1.12
0.24,8.3,25.8,7.8,4.4,2.7,0.07,1.03
0.67,8.4,27.5,10.4,5,2,0.19,2.36
0.43,7.7,19,9.6,1.9,2,0.03,1.51
0.26,7.8,16.9,8.2,2.5,2.3,0.05,1.02
0.17,7.6,18.3,9.1,3.3,2.7,0.05,1.04
0.34,7.9,21.6,8.8,3.4,2.4,0.05,1.41
1.54,8,15.4,10.6,2.1,1.7,0.08,2.27
0.6,8.4,22,6.7,3.7,2.8,0.13,2.09
3.05,8.5,15.5,10.4,3.4,3.2,0.06,8.23
0.53,8.1,14.5,9,4.2,2.9,0.13,1.83
